model_name,image,link,price,fuel_type,transmission
2022 Isuzu D-Max V-Cross 4x4 Z,https://images10.gaadi.com/usedcar_image/3999330/original/processed_d6e74c52-464b-4c01-8246-1a8f2e6cb371.jpg?imwidth=420,/used-car-details/used-Isuzu-D-Max-V-Cross-4x4-Z-cars-Bangalore_18573909-b6d4-4e7f-95f1-b0a3720c2140.htm,₹19 LakhCompare,Diesel,Manual
2015 Isuzu MU 7 4x2 BS III,https://images10.gaadi.com/usedcar_image/4048925/original/processed_411e2ff6-7d4b-4f75-939f-c7781868d15b.jpg?imwidth=420,/used-car-details/used-Isuzu-Mu-7-4x2-Bs-Iii-cars-Bangalore_3f866668-7f1f-448f-948a-617d571f644e.htm,₹5 LakhCompare,Diesel,Manual
2017 Isuzu D-Max 4X4,https://images10.gaadi.com/usedcar_image/4001663/original/processed_cd67cabcff658cf9d584bf1109e9e8ef.jpg?imwidth=420,/used-car-details/used-Isuzu-D-Max-4x4-cars-Bangalore_18bbc193-7ee6-40ab-b348-879b3640f4d5.htm,₹14.85 LakhCompare,Diesel,Manual
